Team,Pace,OE,DE
Miami,103.4,116.7,114.5
Chicago,102.5,113.0,118.1
Utah,102.3,114.1,122.3
Atlanta,101.7,116.1,113.7
Dallas,101.7,111.2,116.5
Washington,101.4,111.0,122.7
Memphis,101.3,112.9,118.8
Indiana,101.0,110.9,118.8
Minnesota,100.5,116.8,113.5
Portland,100.5,114.4,114.7
New Orleans,100.3,114.4,118.9
Orlando,100.0,114.9,114.3
San Antonio,99.9,119.6,111.3
Cleveland,99.9,119.2,115.1
Philadelphia,99.4,115.4,115.5
Oklahoma City,99.3,118.9,107.7
Detroit,99.3,117.9,109.7
Sacramento,99.2,111.4,121.5
Golden State,99.0,115.0,115.6
Denver,98.4,122.6,117.4
Toronto,98.4,115.9,113.0
Los Angeles,98.3,118.2,116.4
Milwaukee,97.6,112.9,119.3
Phoenix,97.2,115.4,113.9
Brooklyn,97.1,108.7,119.0
New York,96.8,119.8,113.3
Charlotte,96.8,119.4,114.4
LA Clippers,96.5,117.3,116.1
Houston,96.1,118.6,113.2
Boston,94.8,120.8,112.7
